SR,PID,PNAME,PKID,PKNAME,PKDESC,PKFEATURE,PKTHEME,PKTYPE,KPI_PRO,PKSUBNAME,PKSUBTYPE,PKSUBDESC,PKSUBTHEME,PKSUBFEATURE,GRI,SASB,SGAMAPID1,SGAMAPID2,SGAMAPID3,SGAMAPID4,SGAMAPID5
1,P2,Project2,100,Anti-bribery/corruption statement or policy,"Does the firm state specific components in their anti-bribery and/or corruption statement or policy? 1. No 2. Yes, policy without components 3. Yes, policy with components",Governance,Governance,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,P2,Project2,300,Supplier bribery/corruption inspections or audits,Does the firm inspect or audit its suppliers or sourcing partners on bribery and/or corruption?,Governance,Governance,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3,P2,Project2,310,Operations in low ranking TICP Index countries,"Are the firm's operations linked to business activities in countries within the 20 lowest rankings in Transparency International�s Corruption Perception (TICP) Index? 1.No 2. Yes, but discloses specialised due dilligence processes 3.Yes, but no evidence of specialised due dilligence processes",Governance,Governance,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,P2,Project2,320,Operation links to Transparency International�s Government Defence Anti-Corruption Index,"Are the firm's operations linked to business activities in countries ranked in the ""E"" or ""F"" Band of Transparency International�s Government Defence Anti-Corruption Index? 1.No 2. Yes, but discloses specialised due dilligence processes 3.Yes, but no evidence of specialised due dilligence processes",Governance,Governance,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5,P2,Project2,,Bribery/corruption monitoring,"Does the firm monitor the prevention of bribery and/or corruption within its operations? 1.No 2.Yes, without KPIs 3.Yes, with KPIs",Governance,Governance,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6,P2,Project2,600,Bribery/corruption related lawsuits,"Has the firm been involved in any bribery and/or corruption related lawsuits or offenses investigated by a judicial/regulatory process? 1.No 2.Yes, reported externally (NGO,  judicial/regulatory body) 3.Yes, reported by company",Governance,Governance,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7,P2,Project2,610,Restrictions on gifts,"Does the firm restrict its management or directors from exchanging gifts/entertainment/facilitation payments? 1.No, 2.Yes, allows gifts under threshold, 3. Yes, complete restriction",Governance,Governance,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8,P2,Project2,700,Anti-bribery/corruption training,"Does the firm provide its employees with training on anti-bribery and/or corruption?  1. No, 2. Yes - without KPIs, 3. Yes - with KPIs",Governance,Governance,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9,P2,Project2,710,Anti-money laundering statement or policy,"Does the firm have an anti-money laundering statement or policy? 1.No 2.Yes, statement 3.Yes, policy",Governance,Governance,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10,P2,Project2,720,Money laundering monitoring,"Does the firm monitor the prevention of money laundering within its operations? 1.No 2.Yes, without KPIs 3.Yes, with KPIs",Governance,Governance,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
11,P2,Project2,730,Anti-money laundering training,"Does the firm provide its employees with training on anti-money laundering?  1. No, 2. Yes - without KPIs, 3. Yes - with KPIs",Governance,Governance,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12,P2,Project2,740,Money laundering related lawsuits,"Has the firm been involved in any money laundering related lawsuits or offenses investigated by a judicial/regulatory process? 1.No 2.Yes, reported externally (NGO,  judicial/regulatory body) 3.Yes, reported by company",Governance,Governance,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
13,P2,Project2,750,Tax-evasion statement or policy,"Does the firm have an anti-tax evasion statement or policy? 1.No 2.Yes, statement 3.Yes, policy",Governance,Governance,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
14,P2,Project2,760,Tax related lawsuits,"Has the firm been involved in any tax related lawsuits or offenses investigated by a judicial/regulatory process? 1. No 2. Yes, reported externally (NGO,  judicial/regulatory body) 3. Yes, reported by company",Governance,Governance,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
15,P2,Project2,780,Country specific tax disclosure,"Does the firm report its tax paid on a country by country basis? 1.No 2.Yes, by regions 3.Yes, some countries 4.Yes, fully",Governance,Governance,N/Y2/Y3/Y4,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
16,P2,Project2,790,Board oversight of tax policy,Does the board have oversight of the firm's tax strategy?,Governance,Governance,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17,P2,Project2,770,Whistleblowing statement or policy,"Does the firm have a statement or policy to allow for whisteblowing? 1.No 2.Yes, statement 3.Yes, policy",Governance,Governance,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18,P2,Project2,200,Whistleblowing support functions,"Does the company provide employees with access to an independent, external and confidential whistleblowing hotline and support function? 1.No  2.Yes for some employees 3.Yes for all employees",Governance,Governance,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
19,P2,Project2,800,Fair competition statement or policy,"Does the firm have a statement or policy on anti-competitive behavior? 1.No 2.Yes, statement 3.Yes, policy",Governance,Governance,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20,P2,Project2,500,Competition related lawsuits,"Has the firm been involved in any anti-competitive behavior related lawsuits or offenses investigated by a judicial/regulatory process? 1.No 2.Yes, reported externally (NGO,  judicial/regulatory body) 3.Yes, reported by company",Governance,Governance,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
21,P2,Project2,900,IP related lawsuits,"Has the firm been involved in any IP related lawsuits or offenses investigated by a judicial/regulatory process? 1.No 2.Yes, reported externally (NGO,  judicial/regulatory body) 3.Yes, reported by company",Governance,Governance,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
22,P2,Project2,910,Political involvement statement or policy,"Does the firm have a statement or policy on political engagement and/or lobbying? 1.No 2.Yes, statement 3.Yes, policy",Governance,Governance,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
23,P2,Project2,920,Political contribution disclosure,"Does the company report publicly on all contributions made directly or indirectly on political parties, politicians in office and/or political candidates as well as lobbying contributions made directly or indirectly by the company, its employees and representatives? 1.No 2.Yes, without KPIs 3.Yes, with KPIs",Governance,Governance,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
24,P2,Project2,1020,Government lobbying,"Does the firm lobby against public policies (directly or indirectly) on sustainability issues? 1.No 2.Yes, indirectly 3.Yes, directly 4.Yes, both",Governance,Governance,N/Y2/Y3/Y4,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
25,P2,Project2,1030,Government engagement,"Does the firm offer support to or advocate positive government action on sustainability issues? 1.No 2.Yes, statement of support 3.Yes, work with policy makers to improve or introduce positive action on sustainability issues",Governance,Governance,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
26,P2,Project2,1060,Government shareholdings,"Is any government present in the shareholding structure? 1. No 2. Yes, not majority 3. Yes, majority (i.e. >50%)",Governance,Governance,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
27,P2,Project2,2600,Compensation committee,Does the firm have a commitee responsible for compensation?,Governance,Governance,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
28,P2,Project2,2700,Executive compensation development,Does the firm use external consultants or peer benchmarking to set and improve key executives' compensation?,Governance,Governance,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
29,P2,Project2,2710,Compensation committee independence,Percentage of the compensation committee that is independent,Governance,Governance,percentage/NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
30,P2,Project2,2720,Compensation committee executives,Are there any executives on the compensation committee?,Governance,Governance,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
31,P2,Project2,3700,Effective board functions,"Does the firm have processes to evaluate the Board performance? 1. No 2.Yes, self-assessment 3.Yes, internal committee 4.Yes, external consultancy",Governance,Governance,N/Y2/Y3/Y4,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
32,P2,Project2,7310,CEO corporate affiliations,Number of corporate affiliations of the CEO,Governance,Governance,number/NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
33,P2,Project2,7400,Casting vote on a tie,"Does the Chair of the Board hold the casting vote in the event of a tie 1.No 2.Yes, but not disclosed 3.Yes, fully disclosed",Governance,Governance,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
34,P2,Project2,7500,Ex-CEO/EXCO chairperson,Has the current Chairman previously held an executive appointment in the company 1.No 2.EXCO 3.CEO  ,Governance,Governance,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
35,P2,Project2,10100,Proportion of non-executive directors,Percentage of directors classified as non-executive,Governance,Governance,percentage/NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
36,P2,Project2,10200,CEO is director,Is the firm's CEO on the board of directors?,Governance,Governance,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
37,P2,Project2,10700,Financial expertise,Percentage of non-executive directors that have financial expertise,Governance,Governance,percentage/NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38,P2,Project2,10710,Industry board expertise,Percentage of non-executive directors that have industry specific expertise,Governance,Governance,percentage/NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
39,P2,Project2,10800,Chairperson independence,Does the firm have an independent director as the Chairperson?,Governance,Governance,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
40,P2,Project2,2500,Non-executive director independence,Percentage of non-executive directors who are independent,Governance,Governance,percentage/NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
41,P2,Project2,10810,Non-executive director shareholders ,Percentage of non-executive directors that are shareholders,Governance,Governance,percentage/NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
42,P2,Project2,10820,Board meeting attendance,What is the average board meeting attendance?,Governance,Governance,percentage/NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
43,P2,Project2,10830,Board size,What is the total number of board members?,Governance,Governance,Number,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
44,P2,Project2,7710,Risk Committee,Does the firm have a committee responsible for risk?,Governance,Governance,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
45,P2,Project2,7720,Risk committee independence,Percentage of the risk committee that is independent,Governance,Governance,percentage/NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
46,P2,Project2,7730,Risk committee executives,Are there any executives on the risk committee?,Governance,Governance,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
47,P2,Project2,7900,Insider trading statement or policy,"Does the firm have an insider trading statement or policy?  1.No 2.Yes, statement 3.Yes, policy",Governance,Governance,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
48,P2,Project2,8000,Nomination committee,"Has the Board established a nominations committee function? 1.No 2.No, but will implement next fiscal year 3.Yes, fully operational   ",Governance,Governance,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
49,P2,Project2,11000,Nomination committee independence,Percentage of the nomination committee that is independent,Governance,Governance,percentage/NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
50,P2,Project2,11010,Nomination committee executives,Are there any executives on the nomination committee?,Governance,Governance,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
51,P2,Project2,9600,Audit committee ,Does the firm have a committee responsible for audits?,Governance,Governance,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
52,P2,Project2,7700,Audit committee financial expertise,Percentage of audit committee members with financial expertise,Governance,Governance,percentage/NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
53,P2,Project2,9500,Audit committee independence,Percentage of the audit committee that is independent,Governance,Governance,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
54,P2,Project2,9510,Audit committee executives,Are there any executives on the audit committee?,Governance,Governance,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
55,P2,Project2,11200,Proportion of non-audit fees,Percentage of non-audit fees relative to the total amount of audit/audit-related fees,Governance,Governance,percentage/NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
56,P2,Project2,11210,Auditor Opinion,"Have the firms' financial statements been found to be unreliable? 1.No (unqualified) 2.Yes, partly (qualified) 3.Yes, fully (adverse)",Governance,Governance,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
57,P2,Project2,10300,Code of Ethics,"Does the firm have a Code of Ethics? 1.No 2.Yes, but not disclosed externally 3.Yes, fully disclosed",Governance,Governance,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
58,P2,Project2,10310,Code of Conduct,"Does the firm have a Code of Conduct? 1.No 2.Yes, but not disclosed externally 3.Yes, fully disclosed",Governance,Governance,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
59,P2,Project2,10400,Corporate governance committee,Does the firm have a committee responsible for corporate governance?,Governance,Governance,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
60,P2,Project2,10410,Anti-takeover devices,Does the firm have any anti-takeover devices in place?,Governance,Governance,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
61,P2,Project2,10600,Number of anti-takeover devices,Total number of anti-takeover devices,Governance,Governance,number/NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
62,P2,Project2,10900,Director re-election,Are the firm's directors subject to individual re-election?,Governance,Governance,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
63,P2,Project2,9800,Director term limits,Does the firm put in place term limits for directors?,Governance,Governance,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
64,P2,Project2,9900,Director re-election interval,What is the shortest interval for directors to be subject to individual re-election?,Governance,Governance,number (years)/NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
65,P2,Project2,9910,Director disapproval,Has any director received an approval rate below 90%?,Governance,Governance,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
66,P2,Project2,9930,Uncontested elections,Does the firm have processes to restrict majority voting in uncontested elections?,Governance,Governance,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
67,P2,Project2,11220,Current auditor,Which auditor is contracted by the firm?,Governance,Governance,Text,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
68,P2,Project2,11400,Minority shareholder rights statement or policy,"Does the firm have a policy or statement to comply with domestic corporate governance codes for equal treatment of minority shareholders?  1.No 2.Yes, statement of compliance 3.Yes, policy",Governance,Governance,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
69,P2,Project2,8100,One share one vote statement or policy,"Does the company have a one share one vote policy for all share classes? 1.No 2.No, but is commited to implementation (statement) 3.Yes, policy",Governance,Governance,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
70,P2,Project2,11410,Equity dilutions,"Does the firm require shareholders to approve equity dilutions? 1. No 2. Yes 3. Yes, including though evergreen provisions ",Governance,Governance,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
71,P2,Project2,11430,Controlling shareholder,Does the firm have a controlling shareholder?,Governance,Governance,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
72,P2,Project2,11440,Remote shareholder action,"Does the firm allow remote shareholder action? 1.No 2. Yes, written consent only 3.Yes, proxy access only 4. Yes, written consent and proxy access ",Governance,Governance,N/Y2/Y3/Y4,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
73,P2,Project2,40800,Auditor appointment period,What is the contract/appointment period for the statuatory auditor?,Governance,Governance,number (years)/NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
74,P2,Project2,40900,Board background disclosure,"Does the firm publish information on the appointment history, skills, background and other affiliations of all Main Board members? 1.No  2.Yes, but not all  3.Yes, all ",Governance,Governance,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
75,P2,Project2,41000,Corporate statutes disclosure,"Are the articles of association, statutes or bylaws publicly available? 1.No 2.Some disclosure 3.Full public disclosure",Governance,Governance,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
76,P2,Project2,41100,English proxy materials,"Does the firm disclose its proxy statements in English? 1.No 2.Yes, sometimes 3.Yes, always",Governance,Governance,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
77,P2,Project2,41110,Executive remuneration statement or policy,"Does the firm have a statement or policy on executive remuneration?  1.No 2.Yes, statement 3.Yes, policy",Governance,Governance,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
78,P2,Project2,2400,Company loans,Does the firm provide loans to 1.Chairperson 2.Chairperson and/or CEO 3.Chairperson and/or CEO and/or other directors including NEDs 4. company-wide,Governance,Governance,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
79,P2,Project2,2900,Management bonus non-financial performance goals ,"Does the firm link its management's bonuses to the achievement of non-financial performance goals? 1.No 2.Yes, but partially guaranteed 3. Yes, none guaranteed",Governance,Governance,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
80,P2,Project2,2910,Director bonus non-financial performance goals ,"Does the firm link its directors' bonuses to the achievement of non-financial performance goals? 1.No 2.Yes, but partially guaranteed 3. Yes, none guaranteed",Governance,Governance,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
81,P2,Project2,3000,Management bonus long-term performance goals ,"Does the firm link its management's bonuses to the achievement of long-term goals? 1.No 2.Yes, but partially guaranteed 3. Yes, none guaranteed",Governance,Governance,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
82,P2,Project2,3010,Director bonus long-term performance goals ,"Does the firm link its directors' bonuses to the achievement of long-term goals? 1.No 2.Yes, but partially guaranteed 3. Yes, none guaranteed",Governance,Governance,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
83,P2,Project2,3020,Executives annual bonus cap,Does the firm have a cap on executives' annual bonus? ,Governance,Governance,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
84,P2,Project2,3030,Executives deferred bonus,Can a portion of the executives' annual bonus be deferred? ,Governance,Governance,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
85,P2,Project2,3040,Executive vested shares,"Are executives' shares subject to a minimum vesting period of five years? 1.No 2.Yes, some executives 3.Yes, all executives",Governance,Governance,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
86,P2,Project2,3050,CEO severance,Value of the CEO severance pay,Governance,Governance,number (reporting currency)/NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
87,P2,Project2,3600,Malus and clawback provision,Does the fim have a malus and clawback provision?,Governance,Governance,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
88,P2,Project2,7100,Performance linked compensation issues,"Have shareholders raised any compensation issues? 1.No 2.Yes, informal channels 3.Yes, formal channels ",Governance,Governance,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
89,P2,Project2,41300,Sustainability reporting,"Does the firm publish an annual sustainability report, GRI report, or sustainability section in its annual report?",Governance,Governance,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
90,P2,Project2,41310,Policy position,Does the firm position itself on government regulations and/or policy proposals that address environmental and social factors affecting its industry?,Governance,Governance,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
91,P2,Project2,41700,GRI reporting  ,Does the firm use the GRI framework in its sustainability report or publish a separate GRI report?,Governance,Governance,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
92,P2,Project2,41900,MD&A integrated reporting,"Does the firm incorporate ESG factors in the management discussion and analysis section, business summary or business review of its annual report?",Governance,Governance,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
93,P2,Project2,42000,Non-domestic sustainability reporting ,Does the firm's sustainability reporting cover non-domestic business activities? ,Governance,Governance,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
94,P2,Project2,42400,Sustainability report external review,Does the firm provide external review on its sustainability report or sustainability section in the annual report? ,Governance,Governance,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
95,P2,Project2,35700,Maximum level of assurance given for ESG data,What is the maximum level of assurance given for ESG data provided by the company?,Governance,Governance,Resonable/Limited/None,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
96,P2,Project2,41400,Board meeting attendance disclosure,Does the firm disclose details of the individual Board members'  meeting attendance? ,Governance,Governance,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
97,P2,Project2,41410,Audit Committee attendance,Does the firm disclose details of the individual audit committee members' meeting attendance? ,Governance,Governance,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
98,P2,Project2,41500,Director remuneration disclosure,"Does the firm disclose the individual directors' remuneration? 1.No  2.Yes, executive only  3.Yes, non-executive only, 4.Yes, both",Governance,Governance,N/Y2/Y3/Y4,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
