SR,PID,PNAME,PKID,PKNAME,PKDESC,PKFEATURE,PKTHEME,PKTYPE,KPI_PRO,PKSUBNAME,PKSUBTYPE,PKSUBDESC,PKSUBTHEME,PKSUBFEATURE,GRI,SASB,SGAMAPID1,SGAMAPID2,SGAMAPID3,SGAMAPID4,SGAMAPID5
99,P2,Project2,41510,ESG materiality measurement ,Does the firm disclose its approach to measuring the materiality of ESG issues?,Governance,Governance,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
100,P2,Project2,41520,ESG materiality assessment ,Does the firm disclose the results of a materiality assessment relating to ESG issues?,Governance,Governance,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
101,P2,Project2,41530,Business continuity risks,"Does the firm describe business continuity risks related to disruptions of operations? 1.No  2.Yes, without continuity plan  3.Yes, with continuity plan ",Governance,Governance,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
102,P2,Project2,41540,Business continuity plan,Does the firm describe its business continuity plan?,Governance,Governance,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
103,P2,Project2,42200,Stakeholder engagement disclosure,Does the firm disclose how it is engaging and involving stakeholders in the materiality prioritisation process?,Governance,Governance,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
104,P2,Project2,41810,Executive succession plan,Does the firm disclose a succession plan for the CEO and senior executives? ,Governance,Governance,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
105,P2,Project2,41830,Performance measure disclosure,Does the firm disclose performance measures for executives?,Governance,Governance,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
106,P2,Project2,41840,Ownership disclosure,Does the firm disclose its ownership breakdown?,Governance,Governance,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
107,P2,Project2,41850,Related party transaction statement or policy,"Does the firm have a statement or policy on related party transactions? 1.No 2.Yes, statement 3.Yes, policy",Governance,Governance,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
108,P2,Project2,41870,Director RPTs,Are any of the directors involved in RPTs?,Governance,Governance,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
109,P2,Project2,41860,Supply chain tracability,Does the firm disclose methods used to maintain traceability of sourced materials?,Governance,Governance,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
110,P2,Project2,41880,Criminal directors/executives ,"Has any director and/or senior management been convicted of a crime? 1.No 2.Yes, any crime 3.Yes, white collar crime 4.Yes, both",Governance,Governance,N/Y2/Y3/Y4,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
111,P2,Project2,7110,Corporate culture disclosure,Does the company define the purpose and culture  of the organisation?,Governance,Governance,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
112,P2,Project2,7120,Corporate value creation disclosure,Does the company explain value creation in its business model disclosure?,Governance,Governance,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
113,P2,Project2,7130,Chairman's statement on culture,"Does the Chairman provide clear commentary and commitments for the organisation in terms of culture, values and behaviours?",Governance,Governance,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
114,P2,Project2,11290,Reporting boundary,What is the baseline reporting boundary for non-financial information for the company?,Governance,Governance,Text,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
115,P2,Project2,25800,Air quality data disclosure,Does the firm disclose quantitative data on air quality emissions? ,Environment,Environment,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
116,P2,Project2,25810,NOx data disclosure,NOx emissions,Environment,Environment,number (tNOx),0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
117,P2,Project2,25820,SOx data disclosure,SOx emissions,Environment,Environment,number (tSOx),0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
118,P2,Project2,25830,VOC data disclosure,VOC emissions,Environment,Environment,number (tVOC),0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
119,P2,Project2,25840,PM data disclosure,PM emissions,Environment,Environment,number (tPM10),0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
120,P2,Project2,26300,Emissions reduction statement or policy,"Does the company have a statement or policy to reduce its emissions? 1.No 2.Yes, statement 3.Yes, policy",Environment,Environment,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
121,P2,Project2,25900,Air quality emissions reduction targets,"Does the firm have specific targets to improve air quality? 1.No 2.Yes, without KPIs 3.Yes, with KPIs ",Environment,Environment,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
122,P2,Project2,26000,NOx and SOx emissions reduction programs ,Does the firm have programs to improve air quality through the reduction of NOx and SOx emissions?,Environment,Environment,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
123,P2,Project2,26100,VOC emissions reduction programs,Does the firm have programs to improve air quality through the reduction of VOC emissions?,Environment,Environment,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
124,P2,Project2,26200,PM10 emissions reduction programs,Does the firm have programs to improve air quality through the reduction of PM10 emissions?,Environment,Environment,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
125,P2,Project2,26400,GHG emissions reduction targets,"Does the firm have specific targets to reduce GHG emissions? 1.No 2.Yes, without KPIs 3.Yes, with KPIs ",Environment,Environment,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
126,P2,Project2,26500,Fleet emissions reduction,Does the firm disclose plans or programs to reduce GHG emissions from its fleet?,Environment,Environment,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
127,P2,Project2,26600,Employee travel emissions reduction ,Does the firm have programs to reduce the environmental impact of staff commuting or business travel?,Environment,Environment,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
128,P2,Project2,26700,GHG emissions data disclosure,Does the firm disclose quantitative GHG emissions data?,Environment,Environment,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
129,P2,Project2,26800,GHG emissions,GHG/CO2e emissions ,Environment,Environment,number (tCO2e),0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
130,P2,Project2,26910,Total energy distribution or production,What is the total amount of energy distributed or produced?,Environment,Environment,number (kWh),0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
131,P2,Project2,27000,Emissions trading scheme participation,Does the firm participate in any emission trading scheme?,Environment,Environment,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
132,P2,Project2,27010,Carbon pricing ,Does the firm use an internal carbon price?,Environment,Environment,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
133,P2,Project2,27020,Carbon price disclosure,What is the internal carbon price per tonne used by the company?,Environment,Environment,number (reporting currency),0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
134,P2,Project2,27100,CDP Participation (climate change),Does the firm participate in the annual Climate Change CDP questionnaire?,Environment,Environment,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
135,P2,Project2,27200,Climate change risk/opportunity acknowledgement,Does the firm acknowledge that climate change is associated with commercial risk and/or opportunities to its business model? ,Environment,Environment,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
136,P2,Project2,24100,Environmental statement or policy,"Does the firm have an envrionmental statement or policy? 1.No 2.Yes, statement 3.Yes, policy",Environment,Environment,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
137,P2,Project2,24400,Environmental supervision,Does the firm have a management level position or committee responsible for environmental issues?,Environment,Environment,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
138,P2,Project2,24500,Environmental targets progress update,Does the firm disclose its progress towards environmental targets? ,Environment,Environment,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
139,P2,Project2,24600,ISO 14000 series or EMS guidelines,Does the firm follow ISO 14000 series or another environmental management system (EMS) guidelines?,Environment,Environment,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
140,P2,Project2,24800,ISO 14000 series certification,Does the firm have an ISO 14001 series certification?,Environment,Environment,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
141,P2,Project2,24810,EMAS certification,Does the firm have an EU Eco-Management and Audit Scheme (EMAS) certification?,Environment,Environment,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
142,P2,Project2,24900,Proportion of environmental management system certified sites,What percentage of company sites are within an audited & verified scheme such as ISO 14000?,Environment,Environment,percentage,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
143,P2,Project2,24910,Proportion of environmental management system certified subsiduaries,What percentage of company subsidiaries are within an audited & verified scheme such as ISO 14000?,Environment,Environment,percentage,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
144,P2,Project2,25000,Environmental inspections or audit results,Does the firm disclose the results of external environmental inspections or audits?,Environment,Environment,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
145,P2,Project2,25100,Environmental investments ,Does the firm make environmental investments that will increase opportunities or reduce risks within its business model?,Environment,Environment,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
146,P2,Project2,25200,Environmental expenditures,Does the firm publish expenditures for environmental projects and initiatives?,Environment,Environment,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
147,P2,Project2,25300,Environmental protection expenditures (proactive),What is the total amount spent proactively on environmental protection?,Environment,Environment,number (reporting currency),0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
148,P2,Project2,25400,Environmental collaborations,Does the firm collaborate with specialised partner organisations on positive environmental initiatives?,Environment,Environment,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
149,P2,Project2,25500,Environmental grievance mechanisms,"Does the firm have mechanisms in place for managing environmental incidents, complaints, and grievances? ",Environment,Environment,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
150,P2,Project2,25600,Environmental lawsuits or offenses,"Has the firm been involved in any environment related lawsuits or offenses investigated by a judicial/regulatory process? 1.No 2.Yes, reported externally (NGO,  judicial/regulatory body) 3.Yes, reported by company",Environment,Environment,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
151,P2,Project2,25700,Environmental fines,What is the total amount of fines paid relating to legal or regulatory environmental violations? ,Environment,Environment,number (reporting currency),0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
152,P2,Project2,25710,Environmental protection expenditures (reactive),What is the total amount spent reactively on environmental protection?,Environment,Environment,number (reporting currency),0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
153,P2,Project2,28800,Stakeholder engagement on environmental issues,Has the firm pledged to engage with relevant stakeholders?,Environment,Environment,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
154,P2,Project2,29000,Supplier environmental criteria integration,Does the firm use environmental criteria when selecting its suppliers or sourcing partners?,Environment,Environment,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
155,P2,Project2,29010,Supplier environmental inspections or audits,Does the firm inspect or audit its suppliers or sourcing partners on environmental criteria?,Environment,Environment,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
156,P2,Project2,29100,Supplier environmental negligence,Does the firm end supplier relationships based on the partner's violation of environmental criteria?,Environment,Environment,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
157,P2,Project2,29110,TCFD signatory,Is the company a supporter of the TCFD reccomendations?,Environment,Environment,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
158,P2,Project2,27300,Product/service environmental impact statement or policy,"Does the firm have a statement or policy to address the environmental effect of its products or services? 1.No 2.Yes, statement 3.Yes, policy",Environment,Environment,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
159,P2,Project2,27400,Product/service enables environmentally responsible use,Does the firm have products or services that enable environmentally responsible use?,Environment,Environment,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
160,P2,Project2,27500,Recyclable/reusable product design ,Does the firm have products that have been designed to be reused or recycled? ,Environment,Environment,,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
161,P2,Project2,27700,Product return and recycling programs,Does the firm have programs that enable its products to be returned and recycled once used?,Environment,Environment,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
162,P2,Project2,28100,Sustainable Packaging statement or policy,"Does the company maintain a Sustainable Packaging statement or policy? 1.No 2.Yes, but not disclosed externally 3.Yes, fully disclosed",Environment,Environment,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
163,P2,Project2,27900,Environmental research and development costs,What is the total amount spent on environmental Research & Development?,Environment,Environment,number (local currency),0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
164,P2,Project2,28200,Clean technology development,Does the firm provide or develop clean technology?,Environment,Environment,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
165,P2,Project2,28300,Sustainable water products  ,Does the firm offer products or services that enable water use?,Environment,Environment,,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
166,P2,Project2,28400,Energy efficient products,Does the firm offer products or services that enable energy efficiency?,Environment,Environment,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
167,P2,Project2,28600,Hybrid vehicles or engines,Does the firm provide or develop hybrid vehicles or engines?,Environment,Environment,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
168,P2,Project2,28700,Noise emissions reduction product development ,Does the firm develop products designed to limit noise emissions?,Environment,Environment,,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
169,P2,Project2,32700,Environmental project financing,Does the firm consider environmental factors within its project financing decisions?,Environment,Environment,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
170,P2,Project2,32710,Clean technology financing,Does the firm finance clean technology?,Environment,Environment,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
171,P2,Project2,32800,Equator Principles signatory,Has the firm signed the Equator Principles?,Environment,Environment,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
172,P2,Project2,32810,Renewable energy production/distribution,Does the firm produce or distribute renewable energy?,Environment,Environment,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
173,P2,Project2,28500,Renewable energy distribution/production proportion,What percentage of the total energy produced or distributed is renewable?,Environment,Environment,percentage,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
174,P2,Project2,29200,Products sourced from responsibly managed forests,Does the firm source from responsibly managed forest lands or woods?,Environment,Environment,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
175,P2,Project2,29300,Proportion of labeled/certified forest products ,What percentage of the firm's total wood or forest products is labeled or certified?,Environment,Environment,percentage,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
176,P2,Project2,29500,Animal testing policy or statement,"Does the firm have a policy or statement on animal testing? 1.No 2.Yes, statement 3.Yes, policy",Environment,Environment,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
177,P2,Project2,29400,Animal testing involvement,"Does the firm or its suppliers use animal testing? 1. No, 2. Yes - firm, 3. Yes - suppliers, 4. Yes - both",Environment,Environment,N/Y2/Y3/Y4,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
178,P2,Project2,29600,Animal products,Does the firm use animal products in its offering?,Environment,Environment,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
179,P2,Project2,29610,Animal welfare standards,Does the firm have any external animal welfare standard certifications?,Environment,Environment,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
180,P2,Project2,29640,Animal welfare initiatives,Does the firm have any programs or initiatives to improve animal welfare?,Environment,Environment,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
181,P2,Project2,29620,Organic products,"Does the company provide any products that are classified as organic? 1. No, 2. Yes - not certified, 3. Yes - certified",Environment,Environment,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
182,P2,Project2,29630,Antibiotic use,"Does the firm or its suppliers aim to limit the use of antibiotics ? 1. No, 2. Yes - firm, 3. Yes - suppliers, 4. Yes - both",Environment,Environment,N/Y2/Y3/Y4,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
183,P2,Project2,29700,Habitat protection or restoration,Does the firm have programs to protect or restore habitats?,Environment,Environment,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
184,P2,Project2,29710,Palm oil sourcing statement or policy,"Does the firm have a statement or policy on the responsible sourcing of palm oil?1.No 2.Yes, statement 3.Yes, policy",Environment,Environment,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
185,P2,Project2,29720,Palm oil sourcing disclosure,Does the firm disclose quantitative data on the sourcing of palm oil?,Environment,Environment,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
186,P2,Project2,29730,Sustainable Palm oil sourcing,What percentage of sourced palm oil has been certified by the Roundtable on Sustainable Palm Oil (RSPO)?,Environment,Environment,percentage,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
187,P2,Project2,29800,Biodiversity impact statement or policy,"Does the firm have a statement or policy to minimise its biodiversity impact? 1.No 2.Yes, statement 3.Yes, policy",Environment,Environment,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
188,P2,Project2,29810,Biodiversity impact reduction initiatives,Does the firm have initiatives to minimise adverse impacts on biodiversity?,Environment,Environment,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
189,P2,Project2,29860,Deforestation statement or policy,"Does the firm have a deforestation statement or policy? 1.No 2.Yes, statement 3.Yes, policy",Environment,Environment,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
190,P2,Project2,29840,Insurance or reserves for environmental restoration,Does the firm have insurance for or set aside reserves for environmental restoration?,Environment,Environment,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
191,P2,Project2,29850,CDP Participation (forest),Does the firm participate in the annual Forest CDP questionnaire?,Environment,Environment,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
192,P2,Project2,27600,Recycled/reused raw materials statement or policy,"Does the firm have a statement or policy on its use of recycled or reused raw materials?  1.No 2.Yes, statement 3.Yes, policy",Environment,Environment,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
193,P2,Project2,27610,Recycled/reused raw materials targets,"Does the firm have specific targets to increase its use of recycled or reused raw materials? 1. No 2.Yes, without KPIs 3.Yes, with KPIs ",Environment,Environment,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
194,P2,Project2,27620,Recycled/reused raw materials disclosure,Does the firm disclose quantitative data on recycled or reused raw matierials?,Environment,Environment,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
195,P2,Project2,27630,Recycled/reused raw materials proportion,What percentage of total raw materials used are recycled or reused?,Environment,Environment,percentage,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
196,P2,Project2,28000,Toxic substances statement or policy,"Does the firm have a statement or policy on reducing its use of toxic substances?  1.No 2.Yes, statement 3.Yes, policy",Environment,Environment,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
197,P2,Project2,28010,Sustainable palm oil production,Does the firm produce palm oil certified by the Roundtable on Sustainable Palm Oil (RSPO)?,Environment,Environment,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
198,P2,Project2,29900,Energy efficiency statement or policy,"Does the firm have an energy efficiency statement or policy? 1.No 2.Yes, statement 3.Yes, policy",Environment,Environment,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
199,P2,Project2,30000,Energy efficiency targets,"Does the firm have specific targets to improve its energy efficiency? 1. No 2.Yes, without KPIs 3.Yes, with KPIs ",Environment,Environment,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
200,P2,Project2,30010,Energy efficiency disclosure,Does the firm disclose quantitative data on its energy efficiency?,Environment,Environment,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
201,P2,Project2,30200,Energy consumption,What is the total energy consumption (direct and indirect)?,Environment,Environment,number (kWh),0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
202,P2,Project2,30300,Energy consumption per production volume,What is the total amount of energy used per unit of production volume?,Environment,Environment,number (kWh),0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
203,P2,Project2,30110,Renewable energy use disclosure,Does the firm disclose quantitative data on renewable energy use?,Environment,Environment,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
204,P2,Project2,30400,Renewable energy consumption,What is the total renewable energy consumption (direct and indirect)?,Environment,Environment,number (kWh),0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
205,P2,Project2,30210,Renewable energy use statement or policy,"Does the firm have a renewable energy statement or policy? 1.No 2.Yes, statement 3.Yes, policy",Environment,Environment,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
