SR,PID,PNAME,PKID,PKNAME,PKDESC,PKFEATURE,PKTHEME,PKTYPE,KPI_PRO,PKSUBNAME,PKSUBTYPE,PKSUBDESC,PKSUBTHEME,PKSUBFEATURE,GRI,SASB,SGAMAPID1,SGAMAPID2,SGAMAPID3,SGAMAPID4,SGAMAPID5
206,P2,Project2,30100,Renewable energy use targets,"Does the firm have specific targets to increase its use of renewable energy? 1. No 2.Yes, without KPIs 3.Yes, with KPIs ",Environment,Environment,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
207,P2,Project2,30600,Property assets emissions reduction statement or policy,"Does the company have a statement or policy to manage the sustainability [environmental footprint & climate resilience] of its property assets? 1.No 2.Yes, without KPIs 3.Yes, with KPIs",Environment,Environment,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
208,P2,Project2,30700,Environmentally sustainable property,"Does the company report publicly on the sustainability [environmental impact & climate resilience] of its property owned or leased by the company? 1.No 2.Yes, without KPIs 3.Yes, with KPIs ",Environment,Environment,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
209,P2,Project2,30810,Real estate sustainability certification,"Does the firm rent, own or lease any buildings with a real estate sustainability certification?",Environment,Environment,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
210,P2,Project2,30800,Land assets sustainability ,"Does the company publicly report the sustainability [environmental footprint & climate resilience] of its land assets? 1.No 2.Yes, without KPIs 3.Yes, with KPIs ",Environment,Environment,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
211,P2,Project2,30900,Waste management statement or policy,"Does the firm have a statement or policy specifying commitment to waste management?  1.No 2.Yes, statement 3.Yes, policy",Environment,Environment,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
212,P2,Project2,31000,Waste related targets,"Does the firm have specific waste related targets? 1. No 2.Yes, without KPIs 3.Yes, with KPIs ",Environment,Environment,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
213,P2,Project2,31200,Waste reduction programs,Does the firm have programs to reduce the amount of waste produced?,Environment,Environment,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
214,P2,Project2,31700,Hazardous waste reduction programs,Does the firm have programs to reduce the amount of hazardous waste produced?,Environment,Environment,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
215,P2,Project2,31710,Electronic waste reduction programs,Does the firm have programs to reduce the amount of electronic waste produced?,Environment,Environment,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
216,P2,Project2,31300,Waste related data disclosure,Does the firm disclose quantitative waste related data?,Environment,Environment,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
217,P2,Project2,31400,Waste produced ,What is the total amount of waste produced by the firm?,Environment,Environment,number (tonnes),0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
218,P2,Project2,31500,Waste recycling,"Does the firm recycle its waste? 1. No 2.Yes, without KPIs 3.Yes, with KPIs ",Environment,Environment,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
219,P2,Project2,31600,Proportion of waste recycled,What percentage of the total waste produced by the firm is recycled or reused?  ,Environment,Environment,percentage,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
220,P2,Project2,31800,Hazardous waste related data disclosure,Does the firm disclose quantitative hazardous waste related data?,Environment,Environment,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
221,P2,Project2,31900,Hazardous waste produced,What is the total amount of hazardous waste produced by the firm?,Environment,Environment,number (tonnes),0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
222,P2,Project2,32000,Liquid non-water waste incident disclosure ,"Does the company publicly report its liquid non-water waste volumes, incidents and reduction activities? 1.No 2.Yes, without KPIs 3.Yes, with KPIs  ",Environment,Environment,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
223,P2,Project2,32010,Oil spills,What is the total volume of oil spilled by the firm?,Environment,Environment,number (barrels),0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
224,P2,Project2,32020,Supply chain waste disclosure,"Does the firm require its suppliers to disclose their waste management and/or waste related risks? 1.No 2.Yes, some 3.Yes, all",Environment,Environment,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
225,P2,Project2,32030,Supplier waste management,"Does the firm support its suppliers in improving their waste management? 1.No 2.Yes, without KPIs 3.Yes, with KPIs ",Environment,Environment,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
226,P2,Project2,32200,Water resource management statement or policy,"Does the firm have a statement or policy specifying commitment to water resource mangement? 1.No 2.Yes, statement 3.Yes, policy",Environment,Environment,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
227,P2,Project2,32210,Water related targets,"Does the firm have specific targets to improve water resource management? 1.No 2.Yes, without KPIs 3.Yes, with KPIs ",Environment,Environment,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
228,P2,Project2,32220,Water resource management programs,Does the firm have programs to improve its water resource management?,Environment,Environment,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
229,P2,Project2,32400,Water usage disclosure,"Does the firm disclose quantitative water usage data? 1.No 2.Yes 3.Yes, broken down by source",Environment,Environment,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
230,P2,Project2,32300,Water withdrawn,What is the total amount of water withdrawn?,Environment,Environment,number (tonnes),0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
231,P2,Project2,32500,Water discharged,Total water discharged,Environment,Environment,number (tonnes),0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
232,P2,Project2,32510,Water withdrawal from water stressed areas,What is the total water withdrawn from water stressed areas?,Environment,Environment,number (tonnes),0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
233,P2,Project2,32520,Water discharged into water stressed areas,Total water discharged into water stressed areas,Environment,Environment,number (tonnes),0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
234,P2,Project2,32600,Water recycling/reuse,"Does the firm recycling or reuse its water?  1.No 2.Yes, without KPIs 3.Yes, with KPIs ",Environment,Environment,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
235,P2,Project2,32610,Water quantity recycled/reused,What is the total volume of water recycled or reused by the firm?,Environment,Environment,number (tonnes),0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
236,P2,Project2,32620,CDP Participation (water),Does the firm participate in the annual Water CDP questionnaire?,Environment,Environment,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
237,P2,Project2,32630,Water discharge non-compliance,"Incidents of non-compliance with water quality permits, standards, and regulations",Environment,Environment,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
238,P2,Project2,32640,Water risk/opportunity acknowledgement,"Does the firm acknowledge that water resource management is associated with opportunities to its business model, and mismanagement with commercial risks?",Environment,Environment,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
239,P2,Project2,32660,Supply chain water disclosure,"Does the firm require its suppliers to disclose their water use and/or water related risks? 1.No 2.Yes, some 3.Yes, all",Environment,Environment,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
240,P2,Project2,32670,Water quality disclosure,Does the firm disclose quantitative data on water discharge quality?,Environment,Environment,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
241,P2,Project2,32650,Water pollutants,Total weight of water pollutants emitted,Environment,Environment,number (tonnes),0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
242,P2,Project2,32680,Hydraulic fracturing,Is the firm involved in hydraulic fracturing?,Environment,Environment,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
243,P2,Project2,32690,Supplier water resource management,"Does the firm support its suppliers in improving their water resource management? 1.No 2.Yes, without KPIs 3.Yes, with KPIs ",Environment,Environment,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
244,P2,Project2,29820,IUCN Red List (operations),"Does the firm state that it or its suppliers do not operate within the habitats of any species identified as threatened or endangered by IUCN Red List? 1. No, 2. Yes - firm, 3. Yes - suppliers, 4. Yes - both",Environment,Environment,N/Y2/Y3/Y4,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
245,P2,Project2,29830,Protected areas (operations),"Does the firm state it or its suppliers do not operate within or near protected areas or areas of high biodiversity value? 1. No, 2. Yes - firm, 3. Yes - suppliers, 4. Yes - both",Environment,Environment,N/Y2/Y3/Y4,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
246,P2,Project2,1500,UN Global Compact signatory ,"Has the company signed the UN Global Compact 1.No. 2.Will sign this fiscal year 3. Yes, non-active member 4.Yes, active participant/signatory",Social,Social,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
247,P2,Project2,1920,Current or expected impacts on communities and local economies,"Does the firm discuss current or expected impacts on communities and local economies, including positive and negative impacts where relevant?  1.No 2.Yes without KPIs 3.Yes with KPIs",Social,Social,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
248,P2,Project2,36200,Accident rate disclosure,"Does the company report publicly on its workplace or commercial activity linked fatalities & Injuries? 1.No 2.Yes, without KPIs 3.Yes, with KPIs",Social,Social,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
249,P2,Project2,2000,Community grievance mechanisms,"Does the firm have mechanisms in place for managing community incidents, complaints, or grievances? ",Social,Social,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
250,P2,Project2,2010,Community grievances,"Has the firm been involved in any incidents, complaints, or grievances relating to the communities in which it operates?  1.No 2.Yes, reported externally (NGO,  judicial/regulatory body) 3.Yes, reported by company",Social,Social,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
251,P2,Project2,2020,Grievances involving indigenous peoples ,"Has the firm been involved in any incidents, complaints, or grievances relating to the rights of  indigenous peoples?  1.No 2.Yes, reported externally (NGO,  judicial/regulatory body) 3.Yes, reported by company",Social,Social,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
252,P2,Project2,2100,OECD Guidelines for MNEs,Does the firm follow the OECD Guidelines for Multinational Enterprises?,Social,Social,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
253,P2,Project2,2200,Social or ethical sustainability awards,Has the firm received any awards for socially responsible or ethical efforts?,Social,Social,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
254,P2,Project2,2220,Senior management hired locally,Has the firm hired senior level positions from the local community?,Social,Social,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
255,P2,Project2,2230,Community engagement statement or policy,"Does the firm have a community engagement statement or policy? 1.No 2.Yes, statement 3.Yes, policy",Social,Social,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
256,P2,Project2,1600,Community program management,Has the firm assigned a senior level position responsible for community programs?,Social,Social,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
257,P2,Project2,1800,Community infrastructure programs,Does the firm invest or develop infrastructure within the communities that they operate in?,Social,Social,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
258,P2,Project2,2240,Community engagement programs ,Does the firm have programs or initiatives that demonstrate engagement with communities affected by the firms' activites?,Social,Social,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
259,P2,Project2,2260,Indigenous peoples engagement programs ,Does the firm have programs or initiatives that demonstrate engagement with indigenous peoples affected by the firms' activites?,Social,Social,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
260,P2,Project2,2270,FPIC of indigenous peoples,"Does the firm work to obtain free, prior and informed consent (FPIC) of indigenous peoples?",Social,Social,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
261,P2,Project2,37400,Community education programs,"Does the company support any specific community education programs that help address key social issues such as but not limited to literacy, numeracy, IT skills? 1.No 2.Yes, without KPIs 3.Yes, with KPIs ",Social,Social,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
262,P2,Project2,2250,Local purchasing,Does the firm report on local purchasing? 1.No 2.Yes without KPIs 3.Yes with KPIs,Social,Social,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
263,P2,Project2,2800,Employee compensation statement or policy,"Does the firm have a statement or policy on the fair compensation of its employees?  1.No 2.Yes, statement 3.Yes, policy",Social,Social,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
264,P2,Project2,2810,Executive bonus cap,Does the firm have a cap on executives' annual bonus? ,Social,Social,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
265,P2,Project2,2820,Employee stock options,Does the firm provide stock options to it's non-executive employees?,Social,Social,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
266,P2,Project2,2830,Employee ownership,Percentage of the firm that is employee owned,Social,Social,percentage,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
267,P2,Project2,2840,Senior management stock ownership,"What is the aggregate level of stock ownership of the non-executive officers, as a percentage of shares outstanding?",Social,Social,percentage,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
268,P2,Project2,3100,"Salaries, wages and benefits  ","Total amount spent on all salaries, wages paid, and benefits?",Social,Social,number (local currency),0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
269,P2,Project2,2300,CEO salary,Total CEO base salary,Social,Social,number (reporting currency),0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
270,P2,Project2,2310,Expenses for contracted work,Total expenses in monetary terms i.e. currency for contracted work done,Social,Social,number (reporting currency),0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
271,P2,Project2,2330,Pension amount (Post-employment benefits),Total spent on post-contract benefits and other postcontract compensation,Social,Social,number (reporting currency),0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
272,P2,Project2,2340,Share-based payment,Total share-based compensation ,Social,Social,number (reporting currency),0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
273,P2,Project2,2350,Termination benefits,Total compensation relating to payments upon termination of employment,Social,Social,number (reporting currency),0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
274,P2,Project2,2360,Key management compensation,Total compensation including salaries and bonuses for key management/director personnel expensed during the period,Social,Social,number (reporting currency),0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
275,P2,Project2,2370,Long-term benefits,Total  long?term employee benefits,Social,Social,number (reporting currency),0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
276,P2,Project2,2380,Highest paid executive salary (non-CEO) ,Total salary payments [including cash bonus but not stock] for the company's highest paid executive (excl. CEO),Social,Social,number (reporting currency),0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
277,P2,Project2,2390,CEO additional compensation,Total CEO compensation excluding base salary,Social,Social,number (reporting currency),0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
278,P2,Project2,3800,Employees earning minimum wage,Percentage of employees earning minimum wage,Social,Social,percentage,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
279,P2,Project2,4500,Executive director level remuneration,"Total remuneration, including salary and bonus, for executive director level positions",Social,Social,number (reporting currency),0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
280,P2,Project2,4510,Non-executive director level remuneration,"Total remuneration, including salary and bonus, for non-executive director level positions",Social,Social,number (reporting currency),0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
281,P2,Project2,4900,Total amount of bonuses,"Total amount of bonuses, incentives and stock options paid out in currency",Social,Social,number (reporting currency),0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
282,P2,Project2,23300,Discrimination lawsuits or offences,"Has the firm been involved in any discrimination related lawsuits or offenses investigated by a judicial/regulatory process? 1.No 2.Yes, reported externally (NGO,  judicial/regulatory body) 3.Yes, reported by company",Social,Social,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
283,P2,Project2,23400,Employs individuals who are differently abled,Does the firm employ individuals who are differently abled?,Social,Social,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
284,P2,Project2,4930,Mean gender bonus gap,The percentage difference between the average bonus paid to male executive employees and the average bonus paid to female executive employees,Social,Social,percentage,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
285,P2,Project2,4970,Gender pay gap,The percentage difference between the average salary paid to male employees and the average salary paid to female employees,Social,Social,percentage,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
286,P2,Project2,4990,Highest paid executive breakdown (gender),"Of the firm's three highest paid executives, how many are female, identify as female, are transgender or non-binary?",Social,Social,number,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
287,P2,Project2,5010,Highest paid executive breakdown (minority),"Of the firm's three highest paid executives, how many are a minority?",Social,Social,number,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
288,P2,Project2,9700,Board diversity statement or policy,"Does the firm have a statement or policy that promotes board diversity?  1.No 2.Yes, statement 3.Yes, policy",Social,Social,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
289,P2,Project2,23700,Minorities on the board,Percentage of minorities on the board,Social,Social,percentage,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
290,P2,Project2,23900,Females on the board,"Percentage of females, or individuals who identify as female, on the board",Social,Social,percentage,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
291,P2,Project2,23500,Equal opportunity and diversity statement or policy,"Does the firm have a statement or policy to promote equal opportunity and diversity? 1.No 2.Yes, statement 3.Yes, policy",Social,Social,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
292,P2,Project2,23510,Diversity training,"Does the firm offer diversity training? 1.No 2.Yes, within the firm 3.Yes, within the supply chain, 4.Yes, within the firm and supply chain",Social,Social,N/Y2/Y3/Y4,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
293,P2,Project2,23520,Unsolicited applications,Does the firm have a statement specifying that it does not accept unsolicited applicants?,Social,Social,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
294,P2,Project2,23600,Equal opportunity and diversity targets,"Does the firm have specific targets to improve equal opportunity and diversity?  1.No 2.Yes, without KPIs 3.Yes, with KPIs ",Social,Social,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
295,P2,Project2,23620,Reserve service and veterans,"Does the company have a specific objective to increase the number of military veterans hired into the workplace? 1.No 2.Yes, without KPIs 3.Yes, with KPIs",Social,Social,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
296,P2,Project2,23630,LGBTQIA+ support,"Does the firm have any programs or initiatives in support of LGBTQIA+ rights?  1.No 2.Yes, without KPIs 3.Yes, with KPIs ",Social,Social,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
297,P2,Project2,23640,Refugee support,"Does the firm have any programs or initiatives in support of refugees? 1.No 2.Yes, without KPIs 3.Yes, with KPIs ",Social,Social,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
298,P2,Project2,23650,Paid Internships,Does the firm offer paid internships?,Social,Social,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
299,P2,Project2,23910,Maturity of workforce disclosure,Does the firm disclose quantitative information on the age structure/distribution?,Social,Social,number,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
300,P2,Project2,23610,Gender and ethnic minority dislcosure,Does the company disclose quantitative information on gender or ethinic minority employment?,Social,Social,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
301,P2,Project2,23200,Females in management level positions,"Percentage of females, or individuals who identify as female, employed by the company in management roles where they have direct line reports",Social,Social,percentage,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
302,P2,Project2,23210,Ethnic minorities in management level positions,Percentage of ethnic minority individuals employed by the company in management level positions ,Social,Social,percentage,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
303,P2,Project2,23810,Female employees,"Percentage of females, or individuals who identify as female, employed by the company in either full time, part time, zero hours, intern or contractor roles [where the contractor functions as an FTE]",Social,Social,percentage,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
304,P2,Project2,23820,Ethnic minority employees,Percentage of ethnic minority individuals employed by the company,Social,Social,percentage,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
305,P2,Project2,24000,Supplier diversity criteria integration,Does the firm consider diversity or equal opportunites when selecting suppliers or sourcing partners?,Social,Social,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
306,P2,Project2,1400,Employee volunteering hours ,Total number of volunteering hours,Social,Social,number (hours),0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
307,P2,Project2,32900,Employee turnover disclosure,"Does the company report publicly on redundancy and retention? 1.No 2.Yes, without KPIs 3.Yes, with KPIs",Social,Social,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
308,P2,Project2,33100,Departure of executive management,Has a member of executive management left the firm for reasons other than retirement?,Social,Social,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
