SR,PID,PNAME,PKID,PKNAME,PKDESC,PKFEATURE,PKTHEME,PKTYPE,KPI_PRO,PKSUBNAME,PKSUBTYPE,PKSUBDESC,PKSUBTHEME,PKSUBFEATURE,GRI,SASB,SGAMAPID1,SGAMAPID2,SGAMAPID3,SGAMAPID4,SGAMAPID5
309,P2,Project2,33400,Employee turnover rate,Percentage of employees who have departed within the last year,Social,Social,percentage,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
310,P2,Project2,33000,Business disruption from strikes,Has the firm experienced any business disruption as a result of industrial dispute or stike action?,Social,Social,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
311,P2,Project2,33020,Working days lost from strikes,Number of working days disrupted due to strike action or disputes?,Social,Social,number (days),0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
312,P2,Project2,33300,Employee satisfaction survey,"Does the firm conduct surveys to measure employees' satisfaction relating to their job role, work environment and management quality?",Social,Social,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
313,P2,Project2,33700,Work-life balance statement or policy,"Does the firm have work-life balance statement or policy? 1.No 2.Yes, statement 3.Yes, policy",Social,Social,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
314,P2,Project2,33200,Employee day care services,Does the firm provide its employees with day care services?,Social,Social,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
315,P2,Project2,33500,Flexible work arrangements,Does the firm provide employees with flexible work arrangements?,Social,Social,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
316,P2,Project2,33710,Parental leave,"Does the firm provide paid parental leave? 1. No, 2. Yes - without KPIs, 3. Yes - with KPIs",Social,Social,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
317,P2,Project2,4700,Retention rate after parental leave,Retention rate of employees that took parental leave,Social,Social,percentage,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
318,P2,Project2,33720,Paternity leave weeks,Total number of weeks offered by employer [groupwide] for paid paternity leave,Social,Social,number,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
319,P2,Project2,33730,Maternity leave weeks,Total number of weeks offered by employer [groupwide] for paid maternity  leave,Social,Social,number,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
320,P2,Project2,40210,Employee benefits,Does the company offer employee benefits?,Social,Social,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
321,P2,Project2,33800,Voluntary Principles on Security and Human Rights,Does the firm follow the guidelines of the Voluntary Principles on Security and Human Rights?,Social,Social,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
322,P2,Project2,33810,UN Guiding Principles on Business and Human Rights,Does the firm follow the UN Guiding Principles on Business and Human Rights?,Social,Social,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
323,P2,Project2,33900,Human rights statement or policy,"Does the firm have a universal statement or policy on human rights? 1.No 2.Yes, statement 3.Yes, policy",Social,Social,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
324,P2,Project2,33920,Human rights project financing,Does the firm consider human rights factors within its project financing decisions?,Social,Social,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
325,P2,Project2,34200,Human rights monitoring ,"Does the firm monitor human rights in its operations and/or supply chain? 1. No, 2. Yes - without KPIs, 3. Yes - with KPIs",Social,Social,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
326,P2,Project2,34300,Human rights training,"Does the firm provide its employees with human rights training? 1. No, 2. Yes - without KPIs, 3. Yes - with KPIs",Social,Social,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
327,P2,Project2,34330,Human rights inspections or audit results,Does the firm disclose the results of external human rights inspections or audits?,Social,Social,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
328,P2,Project2,34400,Supplier human rights criteria integration,Does the firm use human rights criteria when selecting its suppliers or sourcing partners?,Social,Social,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
329,P2,Project2,34500,Supplier human rights negligence,Does the firm end supplier relationships based on the partner's violation of human rights criteria?,Social,Social,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
330,P2,Project2,34600,Universal Declaration of Human Rights guidelines,Does the firm abide by the main guidelines of the Universal Declaration of Human Rights?,Social,Social,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
331,P2,Project2,34610,Human rights collaborations,Does the firm collaborate with specialised partner organisations on positive human rights initiatives?,Social,Social,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
332,P2,Project2,34620,Labour rights statement or policy,"Does the firm have a universal statement or policy on labour rights? 1.No 2.Yes, statement 3.Yes, policy",Social,Social,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
333,P2,Project2,34710,ILO Labour Standards,Does the firm follow the guidelines of the International Labour Organization's (ILO) International Labour Standards?,Social,Social,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
334,P2,Project2,34740,Violence or harassment lawsuits or offenses,"Has the firm been involved in any violence or harassment related lawsuits or offenses investigated by a judicial/regulatory process? 1.No 2.Yes, reported externally (NGO,  judicial/regulatory body) 3.Yes, reported by company",Social,Social,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
335,P2,Project2,34800,Child labour statement or policy,"Does the firm have a statement or policy to avoid using child labour?  1.No 2.Yes, statement 3.Yes, policy",Social,Social,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
336,P2,Project2,34900,Employee freedom of association statement or policy,"Does the firm have a statement or policy to ensure employees' rights to freedom of association and/or collective bargaining?  1.No 2.Yes, statement 3.Yes, policy",Social,Social,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
337,P2,Project2,35000,Forced labour statement or policy,"Does the firm have a statement or policy to avoid using forced or compulsory labour?  1.No 2.Yes, statement 3.Yes, policy",Social,Social,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
338,P2,Project2,35010,Modern Slavery Act statement,Does the firm have a statement on the Modern Slavery Act or equivalent legislation for its jurisdiction?,Social,Social,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
339,P2,Project2,34720,Labour rights data disclosure,Does the firm disclose quantitative labour rights data?,Social,Social,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
340,P2,Project2,34730,Supplier code of conduct,Does the firm have a supplier code of conduct?,Social,Social,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
341,P2,Project2,35200,Supplier code of conduct training,"Does the firm provide training on its supplier Code of Conduct?  1. No, 2. Yes - without KPIs, 3. Yes - with KPIs",Social,Social,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
342,P2,Project2,35400,Supplier inspections or audit results,Does the firm disclose the results of external supplier inspections or audits?,Social,Social,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
343,P2,Project2,35500,Supplier monitoring,"Does the firm monitor labour rights within its supply chain?  1. No, 2. Yes - without KPIs, 3. Yes - with KPIs",Social,Social,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
344,P2,Project2,35600,Supply chain lawsuits or offenses,"Has the firm been involved in any supply chain related lawsuits or offenses investigated by a judicial/regulatory process? 1.No 2.Yes, reported externally (NGO,  judicial/regulatory body) 3.Yes, reported by company",Social,Social,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
345,P2,Project2,35620,Supply chain transparency,"Does the firm provide transparency and/or traceability on its supply chain?  1. No, 2. Yes - without KPIs, 3. Yes - with KPIs",Social,Social,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
346,P2,Project2,35610,Industry organisation membership (labour rights),"Is the firm or its suppliers a member of an industry organisation that addresses labour rights issues? 1.No, 2. Yes - uncertified, 3. Yes - certified",Social,Social,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
347,P2,Project2,38400,Fair trade products,"Does the firm offer or source Fair Trade certified products? 1. No, 2. Yes - without KPIs, 3. Yes - with KPIs",Social,Social,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
348,P2,Project2,35800,Number of Employees,Number of employees as reported by the company in company reports,Social,Social,number,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
349,P2,Project2,35810,Number of Employees in managerial poisitions,Number of employees in managerial positions as reported by the company in company reports,Social,Social,number,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
350,P2,Project2,36600,Health and safety lawsuits,"Has the firm been involved in any health or safety related lawsuits or offenses investigated by a judicial/regulatory process? 1.No 2.Yes, reported externally (NGO,  judicial/regulatory body) 3.Yes, reported by company",Social,Social,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
351,P2,Project2,36100,Working days lost,"Total days lost to absenteeism from either full time, part time, zero hours, interns or FTE allocated but externally contracted roles.",Social,Social,number (days),0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
352,P2,Project2,36120,Injury rate,What is the number of injuries relative to one million working hours?,Social,Social,number (days),0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
353,P2,Project2,36130,Supply chain safety training,Does the firm provide safety training to suppliers or other workers?,Social,Social,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
354,P2,Project2,36300,Health and safety statement or policy,"Does the firm have a policy or statement to improve the health and safety of its employees?  1.No 2.Yes, statement 3.Yes, policy",Social,Social,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
355,P2,Project2,35900,Health and safety certifications,Does the firm have third party health and safety certifications?,Social,Social,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
356,P2,Project2,36410,"Health, safety, and emergency response training","Average hours of health, safety, and emergency response training for full-time employees and contract employees",Social,Social,number (hours),0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
357,P2,Project2,36500,Health and safety incident reduction,"Does the firm have programs and targets set to reduce the number of health and safety issues? 1. No, 2. Yes - without KPIs, 3. Yes - with KPIs",Social,Social,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
358,P2,Project2,36000,Healthcare coverage,Does the company provide healthcare insurance cover or onsite/nearsite facilities for employees either as a discounted employee option or a company funded benefit 1.No  2.For some employees  3.For all employees,Social,Social,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
359,P2,Project2,36110,Number of fatalities,Total employee workplace fatalities including coroner 'work' attributed suicides,Social,Social,number,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
360,P2,Project2,36900,Supply chain health and safety,"Does the firm state that it strives to improve the health and safety of its suppliers' employees? 1. No, 2. Yes - without KPIs, 3. Yes - with KPIs",Social,Social,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
361,P2,Project2,37410,Philanthropy and accessibility,Does the firm provide charitable donations or product/service accessibility initiatives?,Social,Social,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
362,P2,Project2,37010,Micro loans,Total amount provided for micro loans,Social,Social,number (reporting currency),0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
363,P2,Project2,37420,Access to education,"Does the firm have any programs or initialtives to facilitate access to education? 1.No 2.Yes, without KPIs 3.Yes, with KPIs ",Social,Social,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
364,P2,Project2,36400,Employee safety training,Does the firm provide safety training to employees?,Social,Social,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
365,P2,Project2,37500,Community food support ,"Does the company provide food support into communities including but not limited to: food banks, cultivation programs, agri engineering services. 1.No 2.Yes, without KPIs 3.Yes, with KPIs ",Social,Social,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
366,P2,Project2,37510,Access to WASH-services,"Does the firm have any programs or initiatives to facilitate access to WASH-services? 1.No 2.Yes, without KPIs 3.Yes, with KPIs ",Social,Social,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
367,P2,Project2,36700,HIV/AIDS Program,Are employees eligible for free specialist HIV/AIDs care? 1.No  2.For some employees  3.For all employees,Social,Social,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
368,P2,Project2,37100,Low cost medicine accessibility,"Does the company provide low cost or zero costs access to medicines for communities who are unable to afford basic resources to sustain and improve life? 1.No 2.Yes, without KPIs 3.Yes, with KPIs ",Social,Social,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
369,P2,Project2,37000,Financial inclusion,"Does the firm have any programs or initiatives to facilitate financial inclusion? 1.No 2.Yes, without KPIs 3.Yes, with KPIs ",Social,Social,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
370,P2,Project2,37300,Diseases in developing countries,"Does the firm perform research and development or provide medicine for neglected diseases and/or those present in developing countries?  1.No 2.Yes, without KPIs 3.Yes, with KPIs ",Social,Social,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
371,P2,Project2,37710,Healthcare accessibility expenditures,Total amount spent on healthcare accessibility initiatives,Social,Social,number (reporting currency),0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
372,P2,Project2,37810,Access to Medicine Index,Is the firm included in the Access to Medicine Index?,Social,Social,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
373,P2,Project2,2210,Product quality and safety statement or policy,"Does the firm have a statement or policy to commit to product quality and/or safety?  1.No 2.Yes, statement 3.Yes, policy",Social,Social,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
374,P2,Project2,37600,Access to housing,"Does the firm have any programs or initiatives to facilitate access to housing? 1.No 2.Yes, without KPIs 3.Yes, with KPIs ",Social,Social,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
375,P2,Project2,37700,Access to healthcare,"Does the firm have any programs or initiatives to facilitate access to healthcare? 1.No 2.Yes, without KPIs 3.Yes, with KPIs ",Social,Social,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
376,P2,Project2,39800,Product health and safety benefits ,"Does the company market any products through which their utility foster specific health and safety benefits for the consumers including but not limited to organic, gluten free, low sugar, low fat, social media control? 1.No  2.Yes, in some countries  3.Yes, in all countries",Social,Social,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
377,P2,Project2,38060,Product related customer injury disclosure,"Does the firm report on customer injuries or fatalities associated with its products or services?  1.No 2.Yes, without KPIs 3.Yes, with KPIs ",Social,Social,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
378,P2,Project2,38070,New Car Assessment Programme (NCAP) Ratings for product fleet,"Average New Car Assessment Programme (NCAP) rating for product fleet according to US-NCAP, Euro-NCAP or JNCAP or equivalent NCAP methods.",Social,Social,number,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
379,P2,Project2,37800,Low-priced products/services,"Does the company distribute any low-priced products or services specifically designed for BoP [bottom of pyramid] lower income communities to help improve their lives and livelihoods including but not limited to energy, sanitation, housing and health? 1.No 2.Yes, without KPIs 3.Yes, with KPIs ",Social,Social,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
380,P2,Project2,39500,Responsible marketing/product labelling,Does the firm state that it has responsible marketing practices and/or transparent product labelling?,Social,Social,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
381,P2,Project2,37900,Chemical composition disclosure,"Does the company declare the chemical composition of its products either on its labelling or on its website 1.No 2.Yes, some products 3.Yes, all products",Social,Social,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
382,P2,Project2,39540,Average age of fleet,Average age of fleet in years,Social,Social,number,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
383,P2,Project2,39560,Customer service disruption,"Does the company report on unplanned service disruptions?  1.No 2.Yes, without KPIs 3.Yes, with KPIs ",Social,Social,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
384,P2,Project2,38000,Product withdrawal or recall,"Has the firm withdrawn, or announced a recall of, a product due to product quality or safety issues?",Social,Social,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
385,P2,Project2,38010,Product/service recalls and cases of non-compliance,Total number of product/service recalls or cases of non-compliance with regulations and/or voluntary codes,Social,Social,number,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
386,P2,Project2,38100,FDA Warning Letters,What is the number of FDA Warning Letters the firm has received since the last fiscal year update?,Social,Social,number,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
387,P2,Project2,38800,Customer satisfaction measurement,"Does the firm measure customer satisfaction?  1.No 2.Yes, without KPIs 3.Yes, with KPIs ",Social,Social,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
388,P2,Project2,38300,Proportion of satisfied customers,Percentage of satisfied clients as reported and published by the company,Social,Social,percentage,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
389,P2,Project2,38700,Customer related lawsuits or offences ,"Has the firm been involved in any customer related lawsuits or offenses investigated by a judicial/regulatory process? 1.No 2.Yes, reported externally (NGO,  judicial/regulatory body) 3.Yes, reported by company",Social,Social,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
390,P2,Project2,39100,Product impact monitoring,"Does the firm discuss or monitor the impact that its products and services have on consumers?  1.No 2.Yes, without KPIs 3.Yes, with KPIs ",Social,Social,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
391,P2,Project2,39400,Quality principles,Does the firm apply quality management systems or frameworks? ,Social,Social,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
392,P2,Project2,39200,Quality management system certification,Does the firm have an industry specific quality management system certification or an ISO 9000 certification?  1.No 2.Yes without KPIs 3.Yes with KPI's,Social,Social,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
393,P2,Project2,39210,Proportion of facilities certified,Percentage of total facilities certified according to ISO 9000 series OR SA 8000 OR OHSAS 18001/ISO 45001 standards,Social,Social,percentage,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
394,P2,Project2,39300,Quality management system certification across all sites (ISO),"Does the firm have ISO 9001, 9004, or 19011 quality management system certification across all sites? ",Social,Social,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
395,P2,Project2,39600,Stakeholder privacy protection statement or policy,"Does the firm have a statement or policy to protect the privacy of consumers and the general public? 1.No 2.Yes, statement 3.Yes, policy",Social,Social,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
396,P2,Project2,38500,Customer data protection,"Does the firm state that it will not provide customer data to third parties? 1.No 2.Yes, unless consent is given 3.Yes, never",Social,Social,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
397,P2,Project2,38910,Customer data breaches,"Has the company been involved in any data breaches involving customer data? 1.No 2.Yes, reported externally (NGO,  judicial/regulatory body) 3.Yes, reported by company",Social,Social,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
398,P2,Project2,38920,Complaints regarding customer privacy,Total number of substantiated complaints received concerning breaches of customer privacy,Social,Social,number,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
399,P2,Project2,40400,Employee skills development statement or policy,"Does the firm have a statement or policy to develop its employees' skills? 1.No 2.Yes, statement 3.Yes, policy",Social,Social,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
400,P2,Project2,40000,Employee career development ,"Does the company provide a career development path for employees 1.No 2.Yes, but not as a matter of policy 3.Yes, as a matter of HR policy",Social,Social,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
401,P2,Project2,40100,Management professional development,"Does the company provide training for employees who become managers and continuous professional development for managers 1.No 2.Yes, but not as a matter of policy 3.Yes, as a matter of HR policy",Social,Social,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
402,P2,Project2,40300,Internal company promotions/Internal Job postings (IJP),"Does the company look to promote from within in the first instance 1.No 2.Yes, but not as a matter of policy 3.Yes, as a matter of HR policy",Social,Social,N/Y2/Y3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
403,P2,Project2,40530,Proportion of employees with performance/career development reviews,Percentage of total employees who received a regular performance and/or career development review,Social,Social,percentage,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
404,P2,Project2,40500,Employee training disclosure,Does the company disclose quantitative employee training data (number of employees or hours trained)?,Social,Social,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
405,P2,Project2,40200,Average hours of training per year per employee,Average hours of training that the organization's employees have undertaken during the reporting period,Social,Social,number (hours),0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
406,P2,Project2,40510,Employee training costs,Direct and indirect costs of training per employee per year,Social,Social,number (reporting currency),0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
407,P2,Project2,40600,Relevant training for employees,Does the firm provide employees with training that is relevant to their work skills?,Social,Social,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
408,P2,Project2,40520,Performance/career development reviews,Does the firm provide regular performance and/or career development reviews?,Social,Social,Y/N,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
